product_id,name,category,price
P101,Wireless Earbuds,Electronics,2499
P102,Bluetooth Speaker,Electronics,3999
P103,Gaming Mouse,Electronics,1499
P104,Laptop Backpack,Bags,1299
P105,Smart Watch,Electronics,5999
P106,Running Shoes,Fashion,3499
P107,Cotton T-Shirt,Fashion,799
P108,Coffee Mug,Home,399
P109,Water Bottle,Home,699
P110,Power Bank,Electronics,1999
P111,USB Keyboard,Electronics,899
P112,Phone Case,Accessories,499
P113,Desk Lamp,Home,1199
P114,Notebook,Stationery,199
P115,Bluetooth Headphones,Electronics,4499